,Virus,ScientificName,accession,most_specific_diagnostic_Test,Order,Family,Genus,Species,common_names,viral_family
398,Seoul orthohantavirus,Rattus rattus,4,PCR,RODENTIA,MURIDAE,Rattus,rattus,"House Rat, Ship Rat, Roof Rat, Black Rat",Hantaviridae
399,Seoul orthohantavirus,Rattus tanezumi,75,PCR,RODENTIA,MURIDAE,Rattus,tanezumi,"Oriental House Rat, Tanezumi Rat",Hantaviridae
400,Seoul orthohantavirus,Rhinolophus pusillus,2,PCR,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,pusillus,Least Horseshoe Bat,Hantaviridae
401,Seoul orthohantavirus,Suncus murinus,7,PCR,EULIPOTYPHLA,SORICIDAE,Suncus,murinus,"House Shrew, Asian House Shrew",Hantaviridae
402,Seoul orthohantavirus,Tscherskia triton,2,PCR,RODENTIA,CRICETIDAE,Tscherskia,triton,Greater Long-tailed Hamster,Hantaviridae
403,Shimoni bat lyssavirus,Hipposideros commersoni,2,PCR,CHIROPTERA,HIPPOSIDERIDAE,Hipposideros,commersoni,"Commerson's Leaf-nosed Bat, Commerson's Roundleaf Bat",Rhabdoviridae
404,Simian foamy virus,Allenopithecus nigroviridis,2,PCR,PRIMATES,CERCOPITHECIDAE,Allenopithecus,nigroviridis,"Allen's Swamp Monkey, Blackish-green Guenon",Retroviridae
405,Simian foamy virus,Alouatta belzebul,3,PCR,PRIMATES,ATELIDAE,Alouatta,belzebul,"Red-handed Howler Monkey, Black and Red Howler, Red-handed Howler, Red-handed Howling Monkey",Retroviridae
406,Simian foamy virus,Alouatta guariba,6,PCR,PRIMATES,ATELIDAE,Alouatta,guariba,"Brown Howler, Brown Howling Monkey, Southern Brown Howling Monkey, Brown Howler Monkey",Retroviridae
407,Simian foamy virus,Alouatta seniculus,11,PCR,PRIMATES,ATELIDAE,Alouatta,seniculus,,Retroviridae
408,Simian foamy virus,Ateles belzebuth,3,PCR,PRIMATES,ATELIDAE,Ateles,belzebuth,"White-bellied Spider Monkey, White-fronted Spider Monkey, Long-haired Spider Monkey",Retroviridae
409,Simian foamy virus,Ateles fusciceps,2,PCR,PRIMATES,ATELIDAE,Ateles,fusciceps,"Brown-headed Spider Monkey, Black-headed Spider Monkey",Retroviridae
410,Simian foamy virus,Ateles geoffroyi,9,PCR,PRIMATES,ATELIDAE,Ateles,geoffroyi,"Geoffroy's Spider Monkey, Black-handed Spider Monkey, Central American Spider Monkey, Central American Spider Monkey, Black-headed Spider Monkey, Mono Colorado",Retroviridae
411,Simian foamy virus,Ateles paniscus,2,PCR,PRIMATES,ATELIDAE,Ateles,paniscus,"Guiana Spider Monkey, Red-faced Black Spider Monkey, Red-faced Spider Monkey, Black Spider Monkey",Retroviridae
412,Simian foamy virus,Cacajao calvus,2,PCR,PRIMATES,PITHECIIDAE,Cacajao,calvus,"Bald-headed Uacari, White Uakari, Bald Uacari, Bald Uakari, Red-and-white Uacari, Red Uakari, Bald-headed Uakari",Retroviridae
413,Simian foamy virus,Cacajao hosomi,3,PCR,PRIMATES,PITHECIIDAE,Cacajao,hosomi,"Black-headed Uacari, Neblina Uakari, Neblina Uacari, Uakari",Retroviridae
